english_word	offset	definition	c_lu_id	spelling	provenance
increased	eng-30-00880207-a	made greater in size or amount or degree	r_a-16233	vergroot	opus_alt-dict
unexpected	eng-30-00930290-a	not expected or anticipated	r_a-13775	onverwacht	bing_opus_alt-dict
ectopic	eng-30-02717149-a	exhibiting ectopia	d_a-45224	buitenbaarmoederlijk	automatic-rule-1_google_opus_std-dict
tribal	eng-30-03074922-a	relating to or characteristic of a tribe	r_a-15516	tribaal	opus_alt-dict
minimal	eng-30-01496021-a	the least possible	r_a-12883	minimaal	bing_opus_alt-dict
scheduled	eng-30-02366716-a	planned or scheduled for some certain time or times	d_a-102639	gepland	automatic-rule-1_opus_std-dict
typographic	eng-30-02910248-a	relating to or occurring or used in typography	r_a-15531	typografisch	bing_opus_alt-dict
hydrophilic	eng-30-00491971-a	having a strong affinity for water; tending to dissolve in, mix with, or be wetted by water	d_a-114725	hydrofiel	bing_std-dict
styleless	eng-30-00976123-a	lacking in style or elegance	r_a-15042	stijlloos	google_std-dict
malignant	eng-30-02594714-a	dangerous to health; characterized by progressive and uncontrolled growth (especially of a tumor)	d_a-166601	maligne	opus_std-dict
smokeless	eng-30-02234485-a	emitting or containing little or no smoke	r_a-14699	rookvrij	automatic-rule-1_opus_std-dict
particularistic	eng-30-02860719-a	relating to particularism (exclusive interest in one group or class or sect etc.)	d_a-211804	particularistisch	google_std-dict
luckless	eng-30-01468682-a	having or bringing misfortune	r_a-13447	onfortuinlijk	google_std-dict
afebrile	eng-30-02726921-a	having no fever	d_a-5869	afebriel	automatic-rule-1_opus_std-dict
unexploited	eng-30-00942871-a	undeveloped or unused	r_a-13314	onbenut	bing_std-dict
extant	eng-30-00928525-a	still in existence; not extinct or destroyed or lost	r_a-9452	bestaand	bing_alt-dict
archival	eng-30-02640223-a	of or relating to or contained in or serving as an archive	d_a-13155	archivaal	google_std-dict
impolite	eng-30-00641640-a	not polite	r_a-13307	onbeleefd	google_bing_opus_std-dict
grammatic	eng-30-02880322-a	of or pertaining to grammar	r_a-11168	grammaticaal	google_alt-dict
astigmatic	eng-30-00108698-a	of or relating to a defect in the eye or in a lens caused by a deviation from spherical curvature which prevents light rays from meeting at a common focus and so results in distorted images	d_a-14270	astigmatisch	automatic-rule-1_google_std-dict
postpartum	eng-30-00129467-a	occurring immediately after birth	r_a-14358	postnataal	opus_alt-dict
algebraic	eng-30-02854350-a	of or relating to algebra	r_a-8989	algebraïsch	bing_opus_alt-dict
skilled	eng-30-02225510-a	having or showing or requiring special skill	r_a-11023	geschoold	bing_opus_alt-dict
toll-free	eng-30-02816522-a	having no toll levied for its use	r_a-11171	gratis	bing_std-dict
unpalatable	eng-30-01716491-a	not pleasant or acceptable to the taste or mind	r_a-13769	onverteerbaar	bing_std-dict
optional	eng-30-00847399-a	possible but not necessary; left to personal choice	r_a-13910	optioneel	bing_opus_std-dict
interest-bearing	eng-30-02686046-a	of financial obligations on which interest is paid	r_a-14680	rentedragend	google_alt-dict
conical	eng-30-02844728-a	relating to or resembling a cone	d_a-132440	kegelvormig	automatic-rule-1_opus_std-dict
hierarchic	eng-30-01203288-a	classified according to various criteria into successive levels or layers	r_a-11650	hiërarchisch	google_alt-dict
dermatological	eng-30-02916230-a	of or relating to or practicing dermatology	d_a-70805	dermatologisch	automatic-rule-1_google_bing_opus_std-dict
horned	eng-30-02033868-a	having a horn or horns or hornlike parts or horns of a particular kind	d_a-88420	gehoornd	google_std-dict
diverging	eng-30-00612652-a	tending to move apart in different directions	d_a-70922	divergerend	automatic-rule-1_google_std-dict
deflationary	eng-30-02538803-a	associated with or tending to cause decreases in consumer prices or increases in the purchasing power of money	d_a-57424	deflationistisch	automatic-rule-1_opus_std-dict
undrinkable	eng-30-00797218-a	unsuitable for drinking	r_a-13425	ondrinkbaar	google_bing_opus_std-dict
proteinaceous	eng-30-02785757-a	relating to or of the nature of protein	r_a-10556	eiwithoudend	google_bing_alt-dict
uncrowded	eng-30-00560453-a	having or allowing sufficient room	r_a-10310	dunbevolkt	google_std-dict
selfish	eng-30-02098325-a	concerned chiefly or only with yourself and your advantage to the exclusion of others	r_a-10393	egoïstisch	automatic-rule-1_opus_std-dict
hemolytic	eng-30-03007530-a	relating to or involving or causing hemolysis	d_a-108046	hemolytisch	automatic-rule-1_google_bing_opus_std-dict
extrasensory	eng-30-02108827-a	seemingly outside normal sensory channels	d_a-39420	buitenzintuiglijk	automatic-rule-1_google_opus_std-dict
anaphoric	eng-30-02938590-a	relating to anaphora	d_a-10988	anaforisch	automatic-rule-1_google_bing_std-dict
insufficient	eng-30-02336449-a	of a quantity not able to fulfill a need or requirement	r_a-13690	ontoereikend	google_opus_std-dict
intergalactic	eng-30-02849367-a	between or among galaxies	d_a-123707	intergalactisch	automatic-rule-1_google_bing_opus_std-dict
fragrant	eng-30-01052248-a	pleasant-smelling	r_a-11057	geurig	google_opus_std-dict
recoverable	eng-30-01956060-a	capable of being recovered or regained	r_a-11809	herstelbaar	opus_std-dict
fewest	eng-30-01557386-a	(superlative of `few' used with count nouns and usually preceded by `the') quantifier meaning the smallest in number	r_a-12886	minst	bing_alt-dict
useless	eng-30-02497141-a	having no beneficial use or incapable of functioning usefully	r_a-13195	nutteloos	google_bing_opus_std-dict
extramural	eng-30-01347138-a	carried on outside the bounds of an institution or community	r_a-10471	extra	bing_std-dict
unmarried	eng-30-01482228-a	not married or related to the unmarried state	r_a-13480	ongehuwd	google_bing_opus_std-dict
unprotected	eng-30-01886407-a	lacking protection or defense	r_a-13326	onbeschermd	google_opus_std-dict
spatial	eng-30-02841066-a	pertaining to or involving or having the nature of space	r_a-14652	ruimtelijk	opus_std-dict
spoken	eng-30-02283703-a	uttered through the medium of speech or characterized by speech; sometimes used in combination	r_a-15791	uitgesproken	opus_std-dict
obstetric	eng-30-02917694-a	of or relating to or used in or practicing obstetrics	d_a-311056	verloskundig	google_std-dict
etymological	eng-30-03022003-a	based on or belonging to etymology	r_a-10512	etymologisch	automatic-rule-1_google_bing_std-dict
incontinent	eng-30-00591953-a	not having control over urination and defecation	r_a-11895	incontinent	automatic-rule-1_opus_std-dict
uninsured	eng-30-02097029-a	not covered by insurance	r_a-13781	onverzekerd	bing_opus_alt-dict
explicable	eng-30-00938801-a	capable of being explicated or accounted for	r_a-16240	verklaarbaar	google_bing_std-dict
amicable	eng-30-01246579-a	characterized by friendship and good will	r_a-16155	vriendschappelijk	opus_std-dict
homeopathic	eng-30-03072966-a	of or relating to the practice of homeopathy	r_a-11661	homeopathisch	bing_opus_alt-dict
concave	eng-30-00535452-a	curving inward	d_a-50339	concaaf	google_bing_std-dict
odorless	eng-30-01057775-a	having no odor	r_a-11454	geurloos	google_opus_std-dict
unamended	eng-30-00354330-a	(of legislation) not amended	r_a-13544	ongewijzigd	opus_alt-dict
subarctic	eng-30-02804139-a	of or relating to latitudes just south of the Arctic Circle	d_a-277526	subarctisch	google_std-dict
strategical	eng-30-02950711-a	relating to or concerned with strategy	r_a-15073	strategisch	google_std-dict
levitical	eng-30-02755399-a	of or relating to the book of Leviticus in the Bible	d_a-536613	levitisch	automatic-rule-1_google_bing_std-dict
subtropical	eng-30-02929216-a	of or relating to or characteristic of conditions in the subtropics	r_a-15102	subtropisch	bing_opus_alt-dict
vascular	eng-30-02873811-a	of or relating to or having vessels that conduct and circulate fluids	d_a-52295	coronair	automatic-rule-1_opus_std-dict
unprepared	eng-30-01845160-a	without preparation; not prepared for	r_a-13793	onvoorbereid	google_bing_opus_std-dict
asexual	eng-30-02135913-a	not having or involving sex	d_a-194291	ongeslachtelijk	automatic-rule-1_bing_std-dict
intrastate	eng-30-01569807-a	relating to or existing within the boundaries of a state	r_a-9310	binnenlands	bing_alt-dict
premarital	eng-30-03043173-a	relating to events before a marriage	d_a-321048	voorhuwelijks	automatic-rule-1_bing_opus_std-dict
unhallowed	eng-30-02054779-a	not hallowed or consecrated	d_a-194379	ongewijd	automatic-rule-1_opus_std-dict
unmitigated	eng-30-01519803-a	not diminished or moderated in intensity or severity; sometimes used as an intensifier	r_a-14677	regelrecht	bing_alt-dict
carunculated	eng-30-02682298-a	having a caruncle	d_a-338735	wrattig	google_std-dict
omissive	eng-30-02765190-a	characterized by omissions	r_a-13060	nalatig	google_std-dict
fragrant	eng-30-01052248-a	pleasant-smelling	r_a-11057	geurig	bing_opus_alt-dict
nihilistic	eng-30-02911757-a	of or relating to nihilism	r_a-13150	nihilistisch	opus_alt-dict
predicative	eng-30-00172993-a	of adjectives; relating to or occurring within the predicate of a sentence	r_a-14374	predicatief	bing_std-dict
intolerable	eng-30-02435671-a	incapable of being put up with	r_a-13720	onuitstaanbaar	opus_std-dict
cadastral	eng-30-02673022-a	of or relating to the records of a cadastre	r_a-12559	kadastraal	google_std-dict
unconcealed	eng-30-02090341-a	not concealed or hidden	r_a-13747	onverholen	google_std-dict
conjugal	eng-30-02872066-a	of or relating to marriage or to the relationship between a wife and husband	r_a-10348	echtelijk	google_opus_std-dict
epicurean	eng-30-03001153-a	of Epicurus or epicureanism	r_a-11430	genotzuchtig	automatic-rule-1_opus_std-dict
napoleonic	eng-30-03035876-a	of or relating to or like Napoleon Bonaparte	r_a-13063	napoleontisch	google_opus_std-dict
macromolecular	eng-30-02902361-a	relating to or consisting of or characterized by macromolecules	d_a-180275	macromoleculair	automatic-rule-1_google_bing_opus_std-dict
curly	eng-30-01030022-a	(of hair) having curls or waves	d_a-412828	krullend	bing_opus_std-dict
instructive	eng-30-01323449-a	serving to instruct or enlighten or inform	r_a-12352	leerrijk	opus_std-dict
exothermic	eng-30-00872906-a	(of a chemical reaction or compound) occurring or formed with the liberation of heat	d_a-76818	exotherm	automatic-rule-1_google_bing_opus_std-dict
combined	eng-30-01329830-a	made or joined or united into one	r_a-10929	gelijktijdig	opus_alt-dict
corbelled	eng-30-03148653-a	having a corbel	r_a-15639	uitstekend	bing_alt-dict
moravian	eng-30-03040635-a	of or relating to the people or culture of Moravia	r_a-17017	Moravisch	google_std-dict
romaic	eng-30-03112046-a	relating to modern Greece or its inhabitants or its language	d_a-536615	romaans	bing_std-dict
untidy	eng-30-02424254-a	not neat and tidy	d_a-318731	vlotjes	opus_std-dict
dicotyledonous	eng-30-00753786-a	(of a flowering plant) having two cotyledons in the seed	d_a-300101	tweezaadlobbig	automatic-rule-1_google_bing_std-dict
joyous	eng-30-01366718-a	full of or characterized by joy	d_a-323141	vreugdevol	google_opus_std-dict
archiepiscopal	eng-30-02639895-a	of or associated with an archbishop	d_a-2795	aartsbisschoppelijk	google_bing_std-dict
distrustful	eng-30-02463154-a	having or showing distrust	r_a-8701	achterdochtig	opus_alt-dict
radiological	eng-30-02786744-a	of or relating to radiology	r_a-14510	radiologisch	automatic-rule-1_google_bing_opus_std-dict
unpublished	eng-30-00471072-a	not published	d_a-196970	onuitgegeven	google_opus_std-dict
gilled	eng-30-01106989-a	provided with gills	r_a-13677	ontdaan	google_std-dict
peaty	eng-30-02775599-a	of or pertaining to or of the nature of peat	d_a-300036	turfachtig	opus_std-dict
pedagogic	eng-30-02945971-a	of or relating to pedagogy	r_a-14273	pedagogisch	automatic-rule-1_bing_std-dict
restful	eng-30-01922227-a	affording physical or mental rest	r_a-14709	rustgevend	google_opus_std-dict
unquotable	eng-30-01964196-a	not able or fit to be repeated or quoted	r_a-13307	onbeleefd	automatic-rule-1_google_std-dict
gluttonous	eng-30-00009978-a	given to excess in consumption of especially food or drink	r_a-11203	gulzig	google_bing_std-dict
self-centered	eng-30-00101800-a	limited to or caring only about yourself and your own needs	r_a-10392	egocentrisch	google_std-dict
untamed	eng-30-02389220-a	in a natural state; not tamed or domesticated or cultivated	d_a-194321	ongetemd	automatic-rule-1_bing_opus_std-dict
nonconducting	eng-30-00558232-a	not able to conduct heat or electricity or sound	d_a-89130	geleidend	automatic-rule-1_google_std-dict
sudden	eng-30-01143279-a	happening without warning or in a short space of time	r_a-14206	plotseling	google_opus_std-dict
unblended	eng-30-01329616-a	not blended or mixed together	d_a-194132	ongemengd	automatic-rule-1_google_std-dict
statistical	eng-30-02911627-a	of or relating to statistics	r_a-15011	statistisch	google_opus_std-dict
soteriological	eng-30-02799689-a	of or relating to soteriology	d_a-284279	soteriologisch	automatic-rule-1_google_std-dict
vertebral	eng-30-03010664-a	of or relating to or constituting vertebrae	r_a-16030	vertebraal	bing_opus_alt-dict
imperialistic	eng-30-03074368-a	of or relating to imperialism	r_a-11886	imperialistisch	bing_alt-dict
malodorous	eng-30-01053144-a	having an unpleasant smell	d_a-197419	onwelriekend	automatic-rule-1_google_opus_std-dict
instructional	eng-30-02981759-a	of or relating to or used in instruction	r_a-10356	educatief	google_alt-dict
incontinent	eng-30-00591953-a	not having control over urination and defecation	r_a-11895	incontinent	bing_opus_std-dict
two-footed	eng-30-00241672-a	having two feet	r_a-15558	tweebenig	google_std-dict
decorated	eng-30-00056002-a	provided with something intended to increase its beauty or distinction	d_a-415100	onderscheidene	automatic-rule-2_opus_std-dict
archeologic	eng-30-02638392-a	related to or dealing with or devoted to archaeology	r_a-13947	oudheidkundig	google_std-dict
conical	eng-30-02844728-a	relating to or resembling a cone	r_a-9762	conisch	bing_opus_alt-dict
monotheistic	eng-30-01781243-a	believing that there is only one god	d_a-180662	monotheïstisch	automatic-rule-1_google_bing_opus_std-dict
metallurgical	eng-30-03086294-a	of or relating to metallurgy	d_a-180502	metallurgisch	google_opus_std-dict
subsonic	eng-30-00175719-a	(of speed) less than that of sound in a designated medium	d_a-277720	subsonisch	google_opus_std-dict
balanced	eng-30-00893441-a	being in a state of proper equilibrium	d_a-400678	afgewogen	opus_std-dict
multilateral	eng-30-00237240-a	having many parts or sides	r_a-12976	multilateraal	google_opus_std-dict
untoughened	eng-30-02448166-a	physically untoughened	d_a-208165	ongehard	google_std-dict
enforced	eng-30-00557478-a	forced or compelled or put in force	d_a-400666	afgedwongen	google_bing_opus_std-dict
premenstrual	eng-30-02784185-a	of or relating to or occurring during the period just before menstruation	r_a-14473	premenstrueel	google_std-dict
theistic	eng-30-02931345-a	of or relating to theism	d_a-299815	theïstisch	automatic-rule-1_google_bing_opus_std-dict
inflationary	eng-30-02538626-a	associated with or tending to cause increases in inflation	r_a-11982	inflatoir	automatic-rule-1_google_bing_opus_std-dict
groomed	eng-30-02427087-a	neat and smart in appearance; well cared for	r_a-16289	verzorgd	bing_std-dict
prescriptive	eng-30-00732456-a	pertaining to giving directives or rules	r_a-13181	normatief	bing_alt-dict
malicious	eng-30-00224731-a	having the nature of or resulting from malice	r_a-12550	kwaadwillig	opus_alt-dict
adopted	eng-30-01034296-a	acquired as your own by free choice	d_a-102357	geadopteerd	opus_std-dict
multiform	eng-30-01966853-a	occurring in or having many forms or shapes or appearances	d_a-306555	veelvormig	automatic-rule-1_bing_std-dict
cubic	eng-30-00657198-a	having three dimensions	r_a-10027	derdegraads	opus_std-dict
fetal	eng-30-02892819-a	of or relating to a fetus	d_a-82184	foetaal	opus_std-dict
immunologic	eng-30-02746290-a	of or relating to immunology	r_a-11971	immunologisch	automatic-rule-1_google_bing_std-dict
iconic	eng-30-02851550-a	relating to or having the characteristics on an icon	d_a-126672	iconisch	automatic-rule-1_google_bing_opus_std-dict
unashamed	eng-30-00154965-a	used of persons or their behavior; feeling no shame	r_a-13323	onbeschaamd	google_std-dict
unobtrusive	eng-30-01614988-a	not obtrusive or undesirably noticeable	r_a-13628	onopvallend	bing_alt-dict
sacramental	eng-30-02931227-a	of or relating to or involving a sacrament	d_a-248705	sacramenteel	google_std-dict
unamended	eng-30-00354330-a	(of legislation) not amended	r_a-13544	ongewijzigd	google_bing_std-dict
saudi-arabian	eng-30-03114139-a	of or relating to Saudi Arabia or its people	r_a-17129	Saudi-Arabisch	automatic-rule-1_google_bing_alt-dict
intergalactic	eng-30-02849367-a	between or among galaxies	d_a-123707	intergalactisch	opus_std-dict
universalist	eng-30-02952814-a	of or relating to or tending toward universalism	r_a-10169	danig	bing_std-dict
leadless	eng-30-01397125-a	not treated with lead	r_a-12337	loodvrij	google_std-dict
manorial	eng-30-03084397-a	of or relating to or based on the manor	r_a-10012	deftig	bing_alt-dict
asymptotic	eng-30-02929071-a	relating to or of the nature of an asymptote	d_a-19423	asymptotisch	automatic-rule-1_google_bing_opus_std-dict
subsequent	eng-30-00122626-a	following in time or order	r_a-10167	daaropvolgend	opus_alt-dict
methodological	eng-30-02943463-a	relating to the methodology of some discipline	r_a-12848	methodologisch	google_bing_opus_alt-dict
peaty	eng-30-02775599-a	of or pertaining to or of the nature of peat	d_a-328097	veenachtig	google_opus_std-dict
moresque	eng-30-03088220-a	relating to or characteristic of the Moors	d_a-180670	Moors	google_std-dict
unpaved	eng-30-01739987-a	not having a paved surface	r_a-13745	onverhard	opus_std-dict
unaltered	eng-30-00353206-a	remaining in an original state	d_a-192100	onbewerkt	automatic-rule-1_opus_std-dict
implacable	eng-30-01785180-a	incapable of being placated	r_a-13783	onverzoenlijk	google_std-dict
trivalent	eng-30-03126399-a	having a valence of three	d_a-295665	trivalent	google_std-dict
algebraic	eng-30-02854350-a	of or relating to algebra	r_a-8989	algebraïsch	google_std-dict
insurrectionary	eng-30-02919100-a	of or relating to or given to insurrection	d_a-200474	oproerig	google_std-dict
rabbinical	eng-30-02930765-a	of or relating to rabbis or their teachings	d_a-232873	rabbijns	google_std-dict
egoistic	eng-30-00101800-a	limited to or caring only about yourself and your own needs	r_a-10393	egoïstisch	google_std-dict
impassable	eng-30-01725273-a	incapable of being passed	r_a-13290	onbegaanbaar	google_bing_opus_std-dict
arenaceous	eng-30-00142040-a	resembling or containing or abounding in sand; or growing in sandy areas	d_a-143831	kruimelig	google_std-dict
nonmagnetic	eng-30-01470913-a	not capable of being magnetized	r_a-12727	magnetisch	google_std-dict
unwomanly	eng-30-01485502-a	not womanly	r_a-13803	onvrouwelijk	google_std-dict
induced	eng-30-02283188-a	brought about or caused; not spontaneous	r_a-13883	opgewekt	opus_alt-dict
incombustible	eng-30-00474043-a	not capable of igniting and burning	r_a-16188	vuurvast	google_std-dict
epiphysial	eng-30-02990501-a	relating to the epiphysis of a bone	d_a-74633	epifysair	google_std-dict
isomorphous	eng-30-02828917-a	having similar appearance but genetically different	d_a-125356	isomorf	automatic-rule-1_google_bing_std-dict
noncompetitive	eng-30-00513165-a	not involving competition or competitiveness	r_a-9823	competitief	google_alt-dict
clonic	eng-30-02817113-a	of or relating to abnormal neuromuscular activity characterized by rapidly alternating muscle contraction and relaxation	d_a-137117	klonisch	automatic-rule-1_bing_opus_std-dict
intramuscular	eng-30-02882838-a	within a muscle	d_a-124207	intramusculair	opus_std-dict
earned	eng-30-00821367-a	gained or acquired; especially through merit or as a result of effort or action	r_a-16218	verdiend	bing_opus_std-dict
anarchistic	eng-30-02621348-a	of or related to anarchism or tending toward anarchism	r_a-8923	anarchistisch	opus_std-dict
thermosetting	eng-30-02410156-a	having the property of becoming permanently hard and rigid when heated or cured	d_a-299821	thermohardend	automatic-rule-1_google_bing_opus_std-dict
professorial	eng-30-02784873-a	relating to or characteristic of professors	d_a-225771	professoraal	google_std-dict
unstatesmanlike	eng-30-00753378-a	not statesmanlike	r_a-13806	onwaardig	bing_std-dict
unwrapped	eng-30-02087723-a	not yet wrapped or having the wrapping removed	d_a-322083	voorverpakt	opus_std-dict
interlinear	eng-30-02749971-a	written between lines of text	d_a-123774	interlineair	automatic-rule-1_bing_std-dict
cathodic	eng-30-02626995-a	of or at or pertaining to a cathode	d_a-132003	kathodisch	automatic-rule-1_google_bing_opus_std-dict
imperialistic	eng-30-03074368-a	of or relating to imperialism	r_a-11886	imperialistisch	google_opus_std-dict
antenatal	eng-30-00129103-a	occurring or existing before birth	r_a-14380	prenataal	opus_std-dict
held	eng-30-03149347-a	occupied or in the control of; often used in combination	r_a-10899	gehouden	bing_opus_std-dict
leprous	eng-30-02829711-a	relating to or resembling or having leprosy	r_a-12815	melaats	google_bing_std-dict
bibliographic	eng-30-02662538-a	relating to or dealing with bibliography	d_a-29898	bibliografisch	automatic-rule-1_bing_opus_std-dict
resentful	eng-30-00116529-a	full of or marked by resentment or indignant ill will	r_a-11594	haatdragend	google_opus_std-dict
voiced	eng-30-02286083-a	produced with vibration of the vocal cords; 	r_a-15178	stemhebbend	bing_alt-dict
intercontinental	eng-30-01567500-a	extending or taking place between or among continents	r_a-11945	intercontinentaal	google_opus_alt-dict
multiform	eng-30-01966853-a	occurring in or having many forms or shapes or appearances	d_a-306555	veelvormig	google_opus_std-dict
cartographical	eng-30-02681881-a	of or relating to the making of maps or charts	r_a-9805	cartografisch	automatic-rule-1_google_opus_std-dict
inaudible	eng-30-00174379-a	impossible to hear; imperceptible by the ear	r_a-13765	onverstaanbaar	opus_std-dict
nonpolitical	eng-30-01815129-a	not political	r_a-8943	apolitiek	automatic-rule-1_google_std-dict
supportive	eng-30-02354537-a	furnishing support or assistance	d_a-208088	ondersteunend	automatic-rule-1_google_bing_opus_std-dict
hydrostatic	eng-30-02828123-a	relating to fluids at rest or to the pressures they exert or transmit	d_a-114802	hydrostatisch	google_opus_std-dict
autotrophic	eng-30-02652590-a	of or relating to organisms (as green plants) that can make complex organic nutritive compounds from simple inorganic sources by photosynthesis	d_a-15288	autotroof	google_std-dict
venous	eng-30-02642034-a	of or contained in or performing the function of the veins	r_a-8974	aderlijk	opus_alt-dict
socratic	eng-30-03033636-a	of or relating to Socrates or to his method of teaching	d_a-264129	socratisch	automatic-rule-1_google_bing_opus_std-dict
incommunicative	eng-30-00500569-a	not inclined to talk or give information or express opinions	r_a-10371	eenzelvig	google_std-dict
uncompromising	eng-30-01025913-a	not making concessions	r_a-9825	compromisloos	opus_std-dict
unsupervised	eng-30-02350353-a	not supervised or under constant observation	r_a-13360	onbewaakt	google_alt-dict
avian	eng-30-02653924-a	pertaining to or characteristic of birds	d_a-15398	aviair	automatic-rule-1_google_bing_opus_std-dict
brahminical	eng-30-02669806-a	of or relating to or characteristic of a brahmin	d_a-45157	brahmaans	automatic-rule-1_google_bing_std-dict
impervious	eng-30-01773665-a	not admitting of passage or capable of being affected	r_a-13421	ondoordringbaar	opus_alt-dict
playable	eng-30-00955115-a	capable of or suitable for being played or played on	d_a-265793	speelbaar	google_std-dict
humourous	eng-30-01264336-a	full of or characterized by humor	r_a-11705	humoristisch	google_alt-dict
archducal	eng-30-02639302-a	belonging to or befitting an archduke or his archduchy	d_a-2824	aartshertogelijk	automatic-rule-1_google_std-dict
geocentric	eng-30-01118568-a	having the earth as the center	d_a-90459	geocentrisch	automatic-rule-1_opus_std-dict
controlled	eng-30-00598679-a	restrained or managed or kept within certain bounds	r_a-9188	beheerst	opus_alt-dict
antenatal	eng-30-00129103-a	occurring or existing before birth	r_a-14380	prenataal	google_bing_opus_alt-dict
buddhistic	eng-30-02924102-a	of or relating to or supporting Buddhism	r_a-9490	boeddhistisch	google_std-dict
idiopathic	eng-30-02745739-a	(of diseases) arising from an unknown cause	r_a-11965	idiomatisch	opus_std-dict
inconstant	eng-30-00583990-a	likely to change frequently often without apparent or cogent reason; variable	r_a-15762	wispelturig	google_std-dict
carcinogenic	eng-30-02679858-a	causing or tending to cause cancer	r_a-12561	kankerverwekkend	google_opus_std-dict
motivational	eng-30-02766328-a	of or relating to motivation	d_a-180682	motiverend	opus_std-dict
airworthy	eng-30-02088198-a	(of aircraft) fit to fly	d_a-161609	luchtwaardig	google_bing_std-dict
pediatric	eng-30-02893637-a	of or relating to the medical care of children	d_a-300099	tweewekelijks	automatic-rule-1_opus_std-dict
intrinsical	eng-30-01348258-a	belonging to a thing by its very nature	r_a-12008	intrinsiek	google_alt-dict
alkaline	eng-30-00025728-a	relating to or containing an alkali; having a pH greater than 7	d_a-9810	alkalisch	automatic-rule-1_bing_opus_std-dict
atactic	eng-30-02646952-a	lacking motor coordination; marked or caused by ataxia	d_a-14431	atactisch	automatic-rule-1_google_std-dict
supernaturalist	eng-30-02912054-a	of or relating to supernaturalism	d_a-284514	supernaturalistisch	automatic-rule-1_google_std-dict
corpuscular	eng-30-02984998-a	of or relating to corpuscles	d_a-52345	corpusculair	opus_std-dict
exegetic	eng-30-02724166-a	relating to exegesis	d_a-78591	exegetisch	automatic-rule-1_google_std-dict
extramural	eng-30-01347138-a	carried on outside the bounds of an institution or community	r_a-10526	extramuraal	google_alt-dict
contented	eng-30-00588797-a	satisfied or showing satisfaction with things as they are	r_a-15404	tevreden	google_bing_std-dict
unstressed	eng-30-02320117-a	not bearing a stress or accent	d_a-207974	onbeklemtoond	automatic-rule-1_bing_std-dict
anthropological	eng-30-02907175-a	of or concerned with the science of anthropology	r_a-9011	antropologisch	automatic-rule-1_google_bing_opus_std-dict
reputable	eng-30-01982646-a	having a good reputation	r_a-8872	achtenswaardig	google_std-dict
alphanumeric	eng-30-02614579-a	of or pertaining to alphanumeric characters	r_a-8751	alfanumeriek	bing_opus_alt-dict
unmodified	eng-30-01541013-a	not changed in form or character	r_a-13544	ongewijzigd	bing_opus_std-dict
talented	eng-30-01119192-a	endowed with talent or talents	r_a-11325	getalenteerd	automatic-rule-1_bing_opus_std-dict
reassuring	eng-30-00196934-a	restoring confidence and relieving anxiety	r_a-11305	geruststellend	google_opus_alt-dict
eccrine	eng-30-00098736-a	(of exocrine glands) producing a clear aqueous secretion without releasing part of the secreting cell; important in regulating body temperature	d_a-76786	exocrien	automatic-rule-1_opus_std-dict
afebrile	eng-30-02726921-a	having no fever	d_a-151111	koortsvrij	google_std-dict
unbaptized	eng-30-02594443-a	not having undergone the Christian ritual of baptism	d_a-208151	ongedoopt	automatic-rule-1_bing_opus_std-dict
arithmetical	eng-30-03044869-a	relating to or involving arithmetic	r_a-14567	rekenkundig	automatic-rule-1_opus_std-dict
emmetropic	eng-30-00105566-a	of or relating to the normal condition of the eye in which visual images are in clear focus on the retina	d_a-73833	emmetroop	google_std-dict
thermometric	eng-30-03124931-a	of or relating to thermometry	d_a-289816	thermometrisch	automatic-rule-1_google_std-dict
impassable	eng-30-01725273-a	incapable of being passed	r_a-13421	ondoordringbaar	opus_std-dict
uneducated	eng-30-00830717-a	not having a good education	r_a-13527	ongeschoold	opus_alt-dict
gynaecological	eng-30-02916969-a	of or relating to or practicing gynecology	r_a-11382	gynaecologisch	google_bing_opus_alt-dict
relevant	eng-30-01975138-a	having a bearing on or connection with the subject at issue	d_a-404128	desbetreffende	opus_std-dict
oiled	eng-30-01955031-a	treated with oil	r_a-11288	geolied	google_bing_opus_std-dict
invigorating	eng-30-01356683-a	imparting strength and vitality	d_a-310615	verkwikkend	opus_std-dict
harmless	eng-30-01159655-a	not causing or capable of causing harm	r_a-13536	ongevaarlijk	google_opus_std-dict
paved	eng-30-01739693-a	covered with a firm surface	d_a-523447	geplaveid	google_bing_opus_std-dict
identifiable	eng-30-01272397-a	capable of being identified	r_a-8857	aantoonbaar	opus_alt-dict
climatical	eng-30-03055374-a	of or relating to a climate	r_a-12581	klimatologisch	google_alt-dict
endowed	eng-30-00671091-a	provided or supplied or equipped with (especially as by inheritance or nature)	d_a-516507	begiftigd	google_bing_opus_std-dict
isomorphic	eng-30-02828917-a	having similar appearance but genetically different	d_a-125356	isomorf	automatic-rule-1_opus_std-dict
matriarchal	eng-30-01738335-a	characteristic of a matriarchy	r_a-12778	matriarchaal	google_opus_std-dict
habit-forming	eng-30-00047786-a	causing or characterized by addiction	r_a-16016	verslavend	bing_std-dict
rabbinical	eng-30-02930765-a	of or relating to rabbis or their teachings	d_a-232873	rabbijns	automatic-rule-1_opus_std-dict
merciless	eng-30-01507402-a	having or showing no mercy	r_a-10955	genadeloos	bing_opus_std-dict
incongruous	eng-30-00562469-a	lacking in harmony or compatibility or appropriateness	r_a-13523	ongerijmd	google_std-dict
