lemma	rbn_id	synset_id	pos	ODWN_gloss	hypernym(s)	hypernym_gloss	ILI_English_gloss				
club	r_n-9466	odwn-10-103924368-n	n	groep mensen;group of people	eng-30-00031264-n	any number of entities (members) considered as a unit					
modeverschijnsel	r_n-24069	odwn-10-102915296-n	n	iets dat komt en gaat als mode;something that comes and goes like fashion	eng-30-07490579-n	a sudden desire					
trio	r_n-38507	odwn-10-101380549-n	n	muziekstuk voor drie partijen;piece for three parties	eng-30-07037465-n	a musical work that has been created					
vanger	r_n-39576	odwn-10-108851565-n	n	iemand die vangt;someone who catches	eng-30-03081021-n	an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system					
ontgoochelen	r_v-5270	odwn-10-102074758-v	v	desillusioneren;disillusion	eng-30-01798936-v	fail to meet the hopes or expectations of					
maniërisme	r_n-23152	odwn-10-105920271-n	n	bepaalde Europese kunststijl;certain European art style	eng-30-05945642-n	a personal belief or judgment that is not founded on proof or certainty					
fluit	r_n-13415	odwn-10-107317972-n	n	signaalinstrument;signal instrument	eng-30-04586932-n	a musical instrument in which the sound is produced by an enclosed column of air that is moved by the breath					
factuurnummer	r_n-12953	odwn-10-106246545-n	n	volgnummer v.e. factuur;serial of a invoice	eng-30-06425065-n	a numeral or string of numerals that is used for identification					
huis-aan-huisverkoop	r_n-17340	odwn-10-107224521-n	n	het verkopen van deur tot deur;selling door to door	eng-30-01114824-n	a particular instance of selling					
confrontatie	r_n-9808	odwn-10-105549831-n	n	verschil van mening;het in botsing komen;gevecht	eng-30-00958896-n	an open clash between two opposing groups (or individuals)					
uitwringen	r_v-8625	odwn-10-101802652-v	v	draaiend uitknijpen;revolving squeeze	eng-30-01447868-v	press firmly					
CD	r_n-9167	odwn-10-102538489-n	n		eng-30-08256968-n	an organization to gain political power					
washandje	r_n-42386	odwn-10-100406372-n	n	stuk badstof om jezelf mee te wassen;piece of terry cloth to wash yourself	eng-30-04451818-n	an implement used in the practice of a vocation					
bommenwerper	r_n-7978	odwn-10-104148208-n	n	vliegtuig om bommen te werpen;aircraft to drop bombs	eng-30-02691156-n	an aircraft that has a fixed wing and is powered by propellers or jets					
washok	r_n-42390	odwn-10-104247455-n	n	ruimte voor de wasmachine;space for washing machine	eng-30-02873839-n	small area set off by walls for special use					
koopcontract	r_n-20451	odwn-10-105327324-n	n	officieel document mbt. een aankoop	eng-30-06520944-n	a binding agreement between two or more persons that is enforceable by law					
uitdrukken	r_v-8261	odwn-10-104021665-v	v	voorstellen;proposals	eng-30-00940384-v;eng-30-01737141-v	articulate; either verbally or with a cry, shout, or noise					
induceren	r_v-3375	odwn-10-102529373-v	v	als conclusie afleiden;distracted conclusion	eng-30-00634472-v	decide by reasoning; draw or come to a conclusion					
sluitstuk	r_n-34291	odwn-10-101035429-n	n	iets dat als afronding dient;something that serves as a rounding	eng-30-03081021-n	an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system					
solidariteitsstaking	r_n-34646	odwn-10-104773121-n	n	staking uit solidariteit;strike in solidarity	eng-30-01243674-n	'a group''s refusal to work in protest against low pay or bad work conditions'					
opkomst	r_n-26634	odwn-10-109536175-n	n	het groeien of zich ontwikkelen;to grow or develop	eng-30-13497135-n	a process of becoming larger or longer or more numerous or more important					
masturbatie	r_n-23326	odwn-10-102958481-n	n	zelfbevrediging	eng-30-00844254-n	activities associated with sexual intercourse					
bes	r_n-6816	odwn-10-107382322-n	n	muzieknoot;grade	eng-30-06817782-n	a written or printed symbol (as for punctuation)					
fluistercampagne	r_n-13412	odwn-10-102174266-n	n	achterbakse kwaadsprekerij;backstabbing gossip	eng-30-00425182-n	harassment especially of a tethered animal					
plezier	r_n-28847	odwn-10-104268119-n	n	genoegen in iets;pleasure in something	eng-30-00026192-n	the experiencing of affective and emotional states					
bak	r_n-5733	odwn-10-105314870-n	n	kist of doos;crate or box	eng-30-03094503-n	any object that can be used to hold things (especially a large metal boxlike object of standardized dimensions that can be loaded from one form of transport to another)					
scrabbelen	r_v-7122	odwn-10-105363144-v	v	scrabble spelen;play scrabble	eng-30-01072949-v	participate in games or sport					
slangenleer	r_n-34033	odwn-10-106292986-n	n	leer van slangenhuiden;doctrine of snake skins	eng-30-14759722-n	an animal skin made smooth and flexible by removing the hair and then tanning					
spoorwegnet	r_n-35155	odwn-10-107753892-n	n	net van spoorwegen;network of railways	eng-30-03520275-n	a transportation system consisting of roads for motor transport					
wandelroute	r_n-42263	odwn-10-102721470-n	n	te volgen traject v.e. wandeling;to follow route of a walk	eng-30-08616311-n	an established line of travel or access					
kaalslag	r_n-18689	odwn-10-107199452-n	n	algehele onttakeling;total disintegration	eng-30-01249483-n	the act of demolishing					
sproet	r_n-35279	odwn-10-102525282-n	n	vlekje van pigment op de huid;speck of pigment on the skin	eng-30-04682462-n	a small contrasting part of something					
remlicht	r_n-31316	odwn-10-105666255-n	n	signaallicht dat brandt wanneer je remt;signal light that burns when you brake	eng-30-03636248-n	an artificial source of visible illumination					
recordtijd	r_n-30810	odwn-10-105371932-n	n	snelste tijd tot dan toe	eng-30-15270431-n	a period of time considered as a resource under your control and sufficient to accomplish something					
euro	r_n-79041	odwn-10-108101508-n	n	munteenheid	eng-30-13604718-n	a unit of money					
esprit	r_n-12628	odwn-10-105761824-n	n	geest;spirit	eng-30-04650201-n	the trait of appreciating (and being able to express) the humorous					
kroepoek	r_n-20842	odwn-10-105583292-n	n	Indisch bijgerecht o.a. van garnalen;Indian side dish of shrimp , among others	eng-30-07580053-n	a dish that is served with, but is subordinate to, a main course					
ophef	r_n-26609	odwn-10-103994897-n	n	overdreven aandacht;excessive attention	eng-30-14008050-n	the state of being or appearing to be actively engaged in an activity					
patronaat	r_n-27925	odwn-10-103229830-n	n	werkgeversorganisatie	eng-30-00407535-n	any specific behavior					
kroost	r_n-20875	odwn-10-109210246-n	n	kleine kinderen;nakomelingen;little children;offspring	eng-30-10373998-n	the immediate descendants of a person					
doorgronden	r_v-2363	odwn-10-102605366-v	v	doorzien;see through	eng-30-00588888-v	know and comprehend the nature or meaning of					
golf	r_n-15414	odwn-10-102214257-n	n	gulp vloeistof	eng-30-14005892-n	something that resembles a flowing stream in moving continuously					
fietssleutel	r_n-13187	odwn-10-107894785-n	n	sleuteltje v.e. fietsslot;key of a bike lock	eng-30-04451818-n	an implement used in the practice of a vocation					
aanhebben	r_v-76	odwn-10-105572060-v	v	(kleding) dragen;clothing wear	eng-30-02717102-v	'have with oneself; have on one''s person'					
delicatesse	r_n-10621_sub_1	odwn-10-103016987-n	n		eng-30-07557165-n	something considered choice to eat					
opknappen	r_v-5628	odwn-10-107473684-v	v	(werk) verrichten;work perform	eng-30-02413480-v	exert oneself by doing mental or physical work for a purpose or out of necessity					
hartafwijking	r_n-16372	odwn-10-104871882-n	n	afwijking aan het hart;abnormality of the heart	eng-30-14462666-n	the state or an instance of being imperfect					
spreekverbod	r_n-35241	odwn-10-103428435-n	n	verbod om openbaar te spreken;prohibition to speak publicly	eng-30-07168623-n	(often plural) a command given by a superior (e.g., a military or law enforcement officer) that must be obeyed					
residu	r_n-31451	odwn-10-104424879-n	n	overblijfsel na een scheikundige reactie;relic after a chemical reaction	eng-30-13811184-n	a small part or portion that remains after the main part no longer exists					
leveren	r_v-4375	odwn-10-108984347-v	v	geven;give	eng-30-02199590-v;eng-30-01645601-v	transfer possession of something concrete or abstract to somebody					
tegenspeler	r_n-37151	odwn-10-104255834-n	n	personage tegenover de hoofdrol;character in front of the lead	eng-30-09812338-n	a person whose creative work shows sensitivity and imagination					
ophalen	r_v-5580	odwn-10-102372160-v	v	inzamelen;collect	eng-30-01511706-v	cause to move forward with force					
menora	r_n-23591	odwn-10-100655122-n	n	zevenarmige kandelaar	eng-30-03525454-n	a holding device					
vervoerbedrijf	r_n-40578	odwn-10-103860650-n	n	bedrijf dat goederen/mensen vervoert;company that transports or transports people	eng-30-08058098-n	an institution created to conduct business					
gedoe	r_n-14214	odwn-10-103801412-n	n	irriterend gedrag v.e. ander;irritating behavior of a other	eng-30-00024720-n	the way something is with respect to its main attributes					
verwaaien	r_v-9466	odwn-10-109463844-v	v	weggeblazen worden;blow away	eng-30-00426958-v	get lost, as without warning or explanation					
spint	r_n-35043	odwn-10-109968334-n	n	hout direct onder de schors;timber directly beneath the bark	eng-30-04731497-n	a distinguishing quality					
bankrover	r_n-5944	odwn-10-100242221-n	n	berover v.e. bank	eng-30-10534586-n	a thief who steals from someone by threatening violence					
wereldtitel	r_n-42905	odwn-10-105258382-n	n	titel van wereldkampioen;world champion	eng-30-13948912-n	the status of being a champion					
watertanden	r_v-9928	odwn-10-107408340-v	v	trek hebben;draw have	eng-30-01828405-v	desire strongly or persistently					
green	r_n-15675	odwn-10-107209460-n	n	grasveldje rond een hole	eng-30-08497294-n	a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)					
dommel	r_n-11245	odwn-10-107874936-n	n	licht slaapje;light sleep	eng-30-13920835-n	a state at a particular time					
skelet	r_n-33876	odwn-10-104981589-n	n	nerven en aderen v.e. plant;veins and arteries of a plant	eng-30-03081021-n	an artifact that is one of the individual parts of which a composite entity is made up; especially a part that can be separated from or attached to a system					
passie	r_n-27837	odwn-10-109878780-n	n	het lijden van Christus;the sufferings of Christ	eng-30-06514093-n	a record or narrative description of past events					
rammelkar	r_n-30448	odwn-10-106186946-n	n	auto in slechte staat van onderhoud;car in poor condition	eng-30-04524313-n	a conveyance that transports people or objects					
glanzen	r_v-2981	odwn-10-103332796-v	v	glans afgeven;deliver shine	eng-30-01378556-v	distribute or disperse widely					
afzwaaien	r_v-960	odwn-10-104329798-v	v	uit militaire dienst gaan;go from military service	eng-30-00352826-v	bring to an end or halt					
tegoed	r_n-37181	odwn-10-107265505-n	n	positief banksaldo;positive bank balance	eng-30-13331198-n	a quantity of money					
stayer	r_n-35626	odwn-10-100084301-n	n	wielrenner achter een motor	eng-30-10462860-n	someone who practices a learned profession					
binnenvallen	r_v-1714	odwn-10-102832757-v	v	onverwachts binnenkomen;arrive unexpectedly	eng-30-00124442-v	go or proceed from one point to another					
luchtkoeling	r_n-22666	odwn-10-100336811-n	n	koeling d.m.v. lucht;cooling by means air	eng-30-13453160-n	the process of becoming cooler; a falling temperature					
wybertje	r_n-43657	odwn-10-102840353-n	n	ruitvormig dropje;diamond dropje	eng-30-07607361-n	a black candy flavored with the dried root of the licorice plant					
davidster	r_n-10460	odwn-10-108724713-n	n	ster die symbool is v.h. joodse geloof;star that symbolizes v.h Judaism	eng-30-07109847-n	the use of uttered sounds for auditory communication					
assembleren	r_v-1007	odwn-10-102924065-v	v	interpretatie van computertaal;interpretation of computer language	eng-30-00515154-v	subject to a process or treatment, with the aim of readying for some purpose, improving, or remedying a condition					
opwaaien	r_v-5882	odwn-10-101705473-v	v	opvliegen;flyaway	eng-30-02070679-v	to extend, wave or float outward, as if in the wind					
dwarsbomen	r_v-2609	odwn-10-108047468-v	v	tegenwerken;at work	eng-30-02557199-v	hinder or prevent the progress or accomplishment of					
patrijshond	r_n-27919	odwn-10-101511226-n	n	bepaalde jachthond	eng-30-02084071-n	a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds					
spoelen	r_v-7391	odwn-10-100939601-v	v	op een spoel winden;on a coil winding	eng-30-02096167-v	move around an axis or a center					
naamdag	r_n-24504	odwn-10-107628199-n	n	dag gewijd aan heilige;day dedicated to saint	eng-30-15189452-n	legal holiday in the United States, last Monday in May; commemorates the members of the United States armed forces who were killed in war					
uitholling	r_n-39009	odwn-10-100786962-n	n	het uithollen;hollowing	eng-30-00191142-n	the action of changing something					
boskat	r_n-8172	odwn-10-100785316-n	n	wilde kat;wildcat	eng-30-01318894-n	a domesticated animal kept for companionship or amusement					
KMA	r_n-19914	odwn-10-101646768-n	n	opleiding voor militairen;training for soldiers	eng-30-08280124-n	an institution for the advancement of art or science or literature					
blokuur	r_n-7674	odwn-10-109975489-n	n	lange les;long lesson	eng-30-15227846-n	a period of time equal to 1/24th of a day					
overhebben	r_v-5998	odwn-10-107656255-v	v	willen besteden;want to spend	eng-30-02721438-v	make a possibility or provide opportunity for; permit to be attainable or cause to remain					
distribueren	r_v-2263	odwn-10-100277139-v	v	verspreiden;spread	eng-30-02467662-v	separate into parts or portions					
acupressuur	r_n-2707	odwn-10-105565476-n	n	massagetherapie;massage therapy	eng-30-00658082-n	care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)					
grondwetsartikel	r_n-15892	odwn-10-100831714-n	n	artikel v.d. grondwet;article of the constitution	eng-30-06284225-n	one of the natural units into which linguistic messages can be analyzed					
nuance	r_n-25371	odwn-10-108752109-n	n	fijn onderscheid;fine distinction	eng-30-04748836-n	the quality of being unlike or dissimilar					
sonatine	r_n-34685	odwn-10-107759300-n	n	sonate voor één instrument;sonata for one instrument	eng-30-07037465-n	a musical work that has been created					
klit	r_n-19862	odwn-10-105821557-n	n	bloem die aan kleding plakt;flower sticking to clothing	eng-30-13133613-n	fruiting spike of a cereal plant especially corn					
gasinstallatie	r_n-13978	odwn-10-106920213-n	n	stelsel van gasleidingen;system of gas pipelines	eng-30-08434259-n	an interconnected system of things or people					
misgokken	r_v-4702	odwn-10-101352302-v	v	verkeerd gokken;wrong gambling	eng-30-02528380-v	be unsuccessful					
biotechniek	r_n-7425	odwn-10-100420655-n	n	productietechniek met bacteriën enz.;production technique with bacteria etc.	eng-30-00949619-n	the practical application of science to commerce or industry					
aanstaren	r_v-248	odwn-10-108035023-v	v	strak aankijken;look tight	eng-30-02167052-v	look at					
BB	r_n-6110	odwn-10-102047499-n	n	Bescherming Bevolking;Civil Defence	eng-30-00031264-n	any number of entities (members) considered as a unit					
doortrekken	r_v-2458	odwn-10-109040903-v	v	langer, harder trekken;longer , pulling harder	eng-30-01843055-v	make a trip for pleasure					
couchette	r_n-10082	odwn-10-104485595-n	n	slaapplaats in een trein of schip;sleeping in a train or ship	eng-30-03405725-n	furnishings that make a room or other area ready for occupancy					
tropenrooster	r_n-38591	odwn-10-109294908-n	n	rooster gebruikt in zeer warme tijden;grating used in very hot times	eng-30-05898568-n	a series of steps to be carried out or goals to be accomplished					
wegspringen	r_v-10044	odwn-10-101200484-v	v	springend van iets af- of weggaan;leaping anything to diminish or go away	eng-30-01963942-v	move forward by leaps and bounds					
wal	r_n-42201	odwn-10-104254558-n	n	oever	eng-30-02875013-n	a strip forming the outer edge of something					
artikel	r_n-3980	odwn-10-103756801-n	n	onderdeel v.e. wettekst;part of a legislative text	eng-30-06284225-n	one of the natural units into which linguistic messages can be analyzed					
groepswerk	r_n-15828	odwn-10-103305283-n	n	sociaal-cultureel werk;socio-cultural work	eng-30-00658082-n	care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)					
kamertemperatuur	r_n-18905	odwn-10-101913145-n	n	temperatuur in de woonkamer;temperature in the living room	eng-30-05011790-n	the degree of hotness or coldness of a body or environment (corresponding to its molecular activity)					
gezinszorg	r_n-15102	odwn-10-108811314-n	n	zorg voor gezin in moeilijkheden;care for families in difficulty	eng-30-01207609-n	the activity of contributing to the fulfillment of a need or furtherance of an effort or purpose					
puddingpoeder	r_n-30078	odwn-10-100194966-n	n	poeder om pudding te maken;powder to make pudding	eng-30-14586258-n	(chemistry) a substance consisting of two or more substances mixed together (not in fixed proportions and not with chemical bonding)					
doktersroman	r_n-11202	odwn-10-102821215-n	n	liefdesroman over dokters en zusters;love story about doctors and nurses	eng-30-06368962-n	a short novel					
onderdruk	r_n-25851	odwn-10-105604190-n	n	achtergrond v.e. gedrukte afbeelding;background of a printed image	eng-30-05933834-n	the part of a scene (or picture) that lies behind objects in the foreground					
weerkaatsen	r_v-9947	odwn-10-104076328-v	v	reflecteren;reflect	eng-30-01378556-v;eng-30-02004874-v	distribute or disperse widely					
associëren	r_v-1014	odwn-10-102820310-v	v	biologisch verbinden;organically connect	eng-30-01295275-v	cause to become joined or linked					
bovenzaal	r_n-8329	odwn-10-103622056-n	n	zaal op bovenverdieping;room upstairs	eng-30-03478907-n	a large room for gatherings or entertainment					
antiquaar	r_n-3661	odwn-10-100090629-n	n	handelaar in oude boeken;dealer in old books	eng-30-10525436-n	a merchant who sells goods at retail					
postbus	r_n-29328	odwn-10-100655807-n	n	postadres in een postkantoor	eng-30-00002684-n	a tangible and visible entity; an entity that can cast a shadow					
mummie	r_n-24402	odwn-10-106008620-n	n	gebalsemd lijk	eng-30-05218119-n	the dead body of a human being					
rijder	r_n-31633	odwn-10-103909334-n	n	iemand die rijdt;someone who drives	eng-30-10034906-n	the operator of a motor vehicle					
watergruwel	r_n-42443	odwn-10-109857011-n	n	zoet dessert met gort;sweet dessert with pearl barley	eng-30-07557434-n	a particular item of prepared food					
valluik	r_n-39546	odwn-10-105703691-n	n	onzichtbaar gemaakt luik;made invisible hatch	eng-30-03498536-n	a movable barrier covering a hatchway					
besteller	r_n-6908	odwn-10-102515531-n	n	iemand die iets laat komen;someone late for something	eng-30-09984659-n	someone who pays for goods or services					
siamees	r_n-33701	odwn-10-103253770-n	n	bepaald kattenras;specific breed	eng-30-01318894-n	a domesticated animal kept for companionship or amusement					
tuinhuisje	r_n-38705	odwn-10-108211768-n	n	huis waar je tijdelijk verblijft;house where you are staying temporarily	eng-30-02913152-n	a structure that has a roof and walls and stands more or less permanently in one place					
blauwwier	r_n-7516	odwn-10-102805210-n	n	blauwachtige alg;bluish algae	eng-30-01397114-n	primitive chlorophyll-containing mainly aquatic eukaryotic organisms lacking true stems and roots and leaves					
napret	r_n-24616	odwn-10-107244264-n	n	pret na afloop v.e. gebeurtenis	eng-30-00026192-n	the experiencing of affective and emotional states					
stuken	r_v-7648	odwn-10-100577585-v	v	bepleisteren;plastering	eng-30-01332730-v	provide with a covering or cause to be covered					
grondbeginsel	r_n-15844	odwn-10-105147327-n	n	meest basale regel v.e. leer;most basic rule of a leather	eng-30-05872477-n	a basic truth or law or assumption					
afrekening	r_n-2930	odwn-10-106375854-n	n	opgaaf van kosten;specification of charges	eng-30-06733939-n	(law) all the means by which any alleged matter of fact whose truth is investigated at judicial trial is established or disproved					
animatie	r_n-3566_sub_2	odwn-10-103127011-n	n		eng-30-05916155-n	an idea that is suggested					
drinkwaterbedrijf	r_n-11589	odwn-10-109675212-n	n	bedrijf in watervoorziening;business in water supply	eng-30-08061042-n	a commercial or industrial enterprise and the people who constitute it					
vastenactie	r_n-39630	odwn-10-105251102-n	n	hulpverleningsactie in de vastentijd;emergency action during Lent	eng-30-01080366-n	action taken by a group of people					
reisgids	r_n-31161	odwn-10-108085836-n	n	iemand die een groep reizigers rondleidt;someone who leads a group of travelers around	eng-30-06422740-n	something that offers basic information or instruction					
bar	r_n-5956	odwn-10-101164381-n	n	drukeenheid;print unit	eng-30-13583724-n	any division of quantity accepted as a standard of measurement or exchange					
weekgeld	r_n-42648	odwn-10-104313317-n	n	salaris voor een week werken	eng-30-13384557-n	the most common medium of exchange; functions as legal tender					
rangtelwoord	r_n-30496	odwn-10-106714152-n	n	telwoord dat rang aangeeft;numeral indicating rank	eng-30-06286395-n	a unit of language that native speakers can identify					
herenkleding	r_n-16677	odwn-10-108028593-n	n	kleding voor heren;clothing for men	eng-30-03051540-n	'a covering designed to be worn on a person''s body'					
schoolvoorbeeld	r_n-33180	odwn-10-109870719-n	n	sprekend voorbeeld;striking example	eng-30-05937112-n	a representative form or pattern					
grondbedrijf	r_n-15842	odwn-10-105642044-n	n	handel in gronden;trading land	eng-30-08061042-n	a commercial or industrial enterprise and the people who constitute it					
poes	r_n-28977	odwn-10-104980827-n	n	kat	eng-30-01318894-n;eng-30-01320872-n	a domesticated animal kept for companionship or amusement					
hockeyen	r_v-3233	odwn-10-108769775-v	v	hockey spelen;play hockey	eng-30-01072949-v	participate in games or sport					
apparaat	r_n-3743	odwn-10-104372933-n	n	alle mensen die aan iets werken;all the people who work at something	eng-30-00031264-n	any number of entities (members) considered as a unit					
stormloop	r_n-36066	odwn-10-107358231-n	n	plotselinge grote vraag naar iets;sudden huge demand for something	eng-30-00147091-n	a coming together of people					
dambord	r_n-10372	odwn-10-100274628-n	n	speelbord v.h. damspel;board v.h checkers	eng-30-03011521-n	a board having 64 squares of two alternating colors					
borststreek	r_n-8155	odwn-10-108954681-n	n	gewelfd deel v.h. lichaam;gebied rond borst;area around chest	eng-30-05553288-n	the front of the trunk from the neck to the abdomen					
AAW	r_n-2464	odwn-10-102758944-n	n	arbeidsongeschiktheidswet;Occupational Disability	eng-30-06652242-n	prescribed guide for conduct or action					
engelengeduld	r_n-12427	odwn-10-103825405-n	n	eindeloos geduld	eng-30-07514968-n	a feeling of calm; an absence of agitation or excitement					
stervensproces	r_n-35817	odwn-10-106993043-n	n	proces v.h. sterven;process v.h die	eng-30-00029677-n	a sustained phenomenon or one marked by gradual changes through a series of states					
smeltwater	r_n-34352	odwn-10-102804047-n	n	water van gesmolten sneeuw of ijs;water from melted snow and ice	eng-30-14845743-n	binary compound that occurs at room temperature as a clear colorless odorless tasteless liquid; freezes into ice below 0 degrees centigrade and boils above 100 degrees centigrade; widely used as a solvent					
mangelen	r_v-4533	odwn-10-105234573-v	v	persen met een mangel;presses with a mangle	eng-30-01252971-v	make smooth or smoother, as if by rubbing					
vrolijkheid	r_n-41924	odwn-10-101768975-n	n	vermaak	eng-30-00026192-n	the experiencing of affective and emotional states					
dealen	r_v-2110	odwn-10-105012296-v	v	(drugs) verkopen;drug sales	eng-30-02260362-v	engage in the trade of					
behandeling	r_n-6345	odwn-10-100241851-n	n	bejegening	eng-30-01220984-n	manner of acting or controlling yourself					
onwaarheid	r_n-26334	odwn-10-100658608-n	n	het niet waar zijn;not true	eng-30-05913160-n	a contrived or fantastic idea					
afsnijden	r_v-754	odwn-10-107966079-v	v	doorsnijden;cut	eng-30-01552519-v	separate with or as if with an instrument					
langoustine	r_n-21403	odwn-10-103950590-n	n	Noorse kreeft;Norway lobster	eng-30-01982650-n	any of several edible marine crustaceans of the families Homaridae and Nephropsidae and Palinuridae					
constateren	r_v-2030	odwn-10-106229056-v	v	vaststellen;fix	eng-30-00634472-v	decide by reasoning; draw or come to a conclusion					
rammenas	r_n-30451	odwn-10-106213664-n	n	scherp smakende, eetbare wortel;sharp-tasting edible root	eng-30-13128365-n	a fleshy underground stem or root serving for reproductive and food storage					
voeding	r_n-41282	odwn-10-102700550-n	n	eetbare en drinkbare waren;were edible and drinkable	eng-30-00020827-n	that which has mass and occupies space					
kit	r_n-19641	odwn-10-104939913-n	n	hoge, smalle bak;tall , narrow container	eng-30-00002684-n	a tangible and visible entity; an entity that can cast a shadow					
aanrijden	r_v-191	odwn-10-109970187-v	v	raken met een rijdend voertuig;hit by a moving vehicle	eng-30-01835496-v	change location; move, travel, or proceed, also metaphorically					
slingeren	r_v-7210	odwn-10-101514014-v	v	zwaaiend lopen;swaying walk	eng-30-00124442-v	go or proceed from one point to another					
neerkomen	r_v-4903	odwn-10-107140114-v	v	omlaag komen en iets treffen;come down and take anything	eng-30-01970826-v	move downward and lower, but not necessarily all the way					
tropenhelm	r_n-38589	odwn-10-106872130-n	n	helm voor in de tropen	eng-30-03419014-n	an article of clothing					
technocratie	r_n-37081	odwn-10-101696593-n	n	economisch stelsel obv. techniek;economic system obv technique	eng-30-05661996-n	a complex of methods or rules governing behavior					
landgrens	r_n-21336	odwn-10-104906079-n	n		eng-30-08512259-n	the line or plane indicating the limit or extent of something					
tussensprint	r_n-38782	odwn-10-102622013-n	n	sprint halverwege de wedstrijd	eng-30-00294452-n	a quick run					
regeringscoalitie	r_n-31036	odwn-10-107231813-n	n	combinatie van partijen in een regering;combination of parties in government	eng-30-08293982-n	an organization of people (or countries) involved in a pact or treaty					
bouwvergunning	r_n-8286	odwn-10-107198620-n	n	vergunning voor bouwen of verbouwen;permit to build or renovate	eng-30-06549661-n	a legal document giving official permission to do something					
geintje	r_n-14331	odwn-10-106798737-n	n	grap;joke	eng-30-00427580-n	a ludicrous or grotesque act done for fun and amusement					
tussenklank	r_n-38765	odwn-10-100487531-n	n	verbindende klank in samenstellingen;sound in connecting assemblies	eng-30-07371293-n	the sudden occurrence of an audible event					
wegrijden	r_v-10021	odwn-10-104151888-v	v	rijdend vertrekken;rolling quarters	eng-30-01511706-v	cause to move forward with force					
giek	r_n-15141	odwn-10-104424485-n	n	dwarsbalk v.e. wegwijzer;sleeper of a signpost	eng-30-04475496-n	a horizontal beam that extends across something					
slaapmuts	r_n-33921	odwn-10-109745037-n	n	sloom iemand;lethargic someone	eng-30-00007846-n	a human being					
uitbetaling	r_n-38938	odwn-10-100490597-n	n	(het betalen van) loon;paying wage	eng-30-01120448-n	the act of paying money					
penicillinekuur	r_n-28086	odwn-10-106411340-n	n	medische kuur van penicilline;medical treatment of penicillin	eng-30-00658082-n	care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)					
thuisbezorgen	r_v-7907	odwn-10-107810550-v	v	aan huis bezorgen;home delivery	eng-30-01438304-v	bring to a destination, make a delivery					
visualiseren	r_v-9599	odwn-10-100873909-v	v	veraanschouwelijken;illustrate	eng-30-01737141-v	recreate a sound, image, idea, mood, atmosphere, etc.					
ontwapenen	r_v-5386	odwn-10-102680190-v	v	de wapens wegnemen;eliminate weapons	eng-30-01511706-v	cause to move forward with force					
verorberen	r_v-9190	odwn-10-109534320-v	v	opeten;eat	eng-30-01166351-v	eat a meal; take a meal					
gastcollege	r_n-14009	odwn-10-102768389-n	n	college v.e. gastdocent;lecture of a visiting professor	eng-30-06185955-n	a doctrine that is taught					
weerpraatje	r_n-42676	odwn-10-101185136-n	n	praatje over het weer	eng-30-07234881-n	a public instance of reciting or repeating (from memory) something prepared in advance					
sulfaat	r_n-36600	odwn-10-107662146-n	n	zout van zwavelzuur;salt of sulfuric acid	eng-30-15010703-n	a compound formed by replacing hydrogen in an acid by a metal (or a radical that acts like a metal)					
nuchterheid	r_n-25380	odwn-10-108562853-n	n	zakelijkheid;pragmatism	eng-30-06193203-n;eng-30-04616059-n	a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways					
liefdesbrief	r_n-22124	odwn-10-100744332-n	n	brief met een liefdesbetuiging;letter with a love song	eng-30-06624161-n	a written message addressed to a person or organization					
Internationale	r_n-18133	odwn-10-107426189-n	n	socialistisch strijdlied;socialist anthem	eng-30-07048000-n	a short musical composition with words					
kogel	r_n-20115	odwn-10-101206054-n	n	metalen balletje als munitie;metal balls as ammunition	eng-30-04008634-n	a weapon that is forcibly thrown or projected at a targets but is not self-propelled					
dorpsgenoot	r_n-11386	odwn-10-108970554-n	n	medebewoner v.h. dorp	eng-30-09620078-n	a person who inhabits a particular place					
nietigverklaring	r_n-24998	odwn-10-106324617-n	n	ongeldigheidsverklaring;nullification	eng-30-06471345-n	a document attesting to the truth of certain stated facts					
postkaart	r_n-29344	odwn-10-104432727-n	n	kaart met voorgedrukte postzegel;kaart met voorgedrukte postzegel;card with pre-printed stamp	eng-30-06627938-n	a card for sending messages by post without an envelope					
bezoekuur	r_n-7182	odwn-10-108214940-n	n	bezoektijd;visit time	eng-30-15122231-n	an indefinite period (usually marked by specific attributes or activities)					
koffiepot	r_n-20110	odwn-10-108067475-n	n	warmhoudkan voor koffie;thermos jug for coffee	eng-30-03950228-n	an open vessel with a handle and a spout for pouring					
slik	r_n-34145	odwn-10-101703559-n	n	vaste maar onverharde stoffen in water;het slikken;solid but dirt substances in water	eng-30-14956325-n	water soaked soil; soft wet earth					
apporteren	r_v-991	odwn-10-102364833-v	v	terugbrengen door honden;reduce by dogs	eng-30-02078294-v	bring back to the point of departure					
